Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	SAMEA104076762.contig00004	79665	80210	+	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	182	182	100.00	100.00	182	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	NA	NA
NA	SAMEA104076762.contig00007	24278	26746	+	gyrA_S83Y	Enterococcus faecium quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	823	823	100.00	99.64	823	WP_137277832.1	DNA gyrase subunit A GyrA	NA	NA
NA	SAMEA104076762.contig00016	23031	25478	-	parC_S80R	Enterococcus faecium quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	816	816	100.00	99.75	816	WP_115256011.1	DNA topoisomerase IV subunit A ParC	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_A499T	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_E629V	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_M426I	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_M485A	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_N496K	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00020	31214	33250	-	pbp5_S466SS	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.43	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA104076762.contig00028	6139	7614	-	msr(C)	ABC-F type ribosomal protection protein Msr(C)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	BLASTX	492	492	100.00	98.98	492	WP_063854349.1	ABC-F type ribosomal protection protein Msr(C)	NA	NA
NA	SAMEA104076762.contig00044	2	613	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	204	639	31.92	100.00	204	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
NA	SAMEA104076762.contig00048	2	613	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	204	639	31.92	100.00	204	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
