Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	SAMEA3304467.contig00005	4303	4848	-	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	182	182	100.00	100.00	182	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	NA	NA
NA	SAMEA3304467.contig00008	35571	38039	-	gyrA_S83Y	Enterococcus faecium quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	823	823	100.00	99.64	823	WP_137277832.1	DNA gyrase subunit A GyrA	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_A499T	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_E629V	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_M426I	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_M485A	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_N496K	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00016	51016	53052	-	pbp5_S466SS	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	SAMEA3304467.contig00018	22987	25434	-	parC_S80R	Enterococcus faecium quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	816	816	100.00	99.75	816	WP_115256011.1	DNA topoisomerase IV subunit A ParC	NA	NA
NA	SAMEA3304467.contig00026	24395	25174	+	ant(9)-Ia	aminoglycoside nucleotidyltransferase ANT(9)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	EXACTX	260	260	100.00	100.00	260	WP_000067268.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	NA	NA
NA	SAMEA3304467.contig00026	25306	26034	-	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	EXACTX	243	243	100.00	100.00	243	WP_001072197.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NA	NA
