Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	CM176511.1	6208	8676	+	gyrA_S83Y	Enterococcus faecium quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	823	823	100.00	99.64	823	WP_137277832.1	DNA gyrase subunit A GyrA	NA	NA
NA	CM176511.1	63450	63944	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
NA	CM176511.1	64219	65343	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	375	639	58.69	100.00	375	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
NA	CM176511.1	1145593	1148040	+	parC_S80R	Enterococcus faecium quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	816	816	100.00	99.75	816	WP_115256011.1	DNA topoisomerase IV subunit A ParC	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_A499T	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_E629V	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_M426I	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_M485A	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_N496K	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1466637	1468673	-	pbp5_S466SS	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	96.02	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176511.1	1704936	1706852	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
